,Monday_1,Monday_2,Monday_3,Monday_4,Monday_5,Monday_6,Monday_7,Monday_8,Monday_9,Monday_10,Monday_11,Monday_12,Monday_13,Monday_14,Monday_15,Monday_16,Monday_17,Monday_18,Monday_19,Monday_20,Monday_21,Monday_22,Monday_23,Monday_24,Tuesday_1,Tuesday_2,Tuesday_3,Tuesday_4,Tuesday_5,Tuesday_6,Tuesday_7,Tuesday_8,Tuesday_9,Tuesday_10,Tuesday_11,Tuesday_12,Tuesday_13,Tuesday_14,Tuesday_15,Tuesday_16,Tuesday_17,Tuesday_18,Tuesday_19,Tuesday_20,Tuesday_21,Tuesday_22,Tuesday_23,Tuesday_24,Wednesday_1,Wednesday_2,Wednesday_3,Wednesday_4,Wednesday_5,Wednesday_6,Wednesday_7,Wednesday_8,Wednesday_9,Wednesday_10,Wednesday_11,Wednesday_12,Wednesday_13,Wednesday_14,Wednesday_15,Wednesday_16,Wednesday_17,Wednesday_18,Wednesday_19,Wednesday_20,Wednesday_21,Wednesday_22,Wednesday_23,Wednesday_24,Thursday_1,Thursday_2,Thursday_3,Thursday_4,Thursday_5,Thursday_6,Thursday_7,Thursday_8,Thursday_9,Thursday_10,Thursday_11,Thursday_12,Thursday_13,Thursday_14,Thursday_15,Thursday_16,Thursday_17,Thursday_18,Thursday_19,Thursday_20,Thursday_21,Thursday_22,Thursday_23,Thursday_24,Friday_1,Friday_2,Friday_3,Friday_4,Friday_5,Friday_6,Friday_7,Friday_8,Friday_9,Friday_10,Friday_11,Friday_12,Friday_13,Friday_14,Friday_15,Friday_16,Friday_17,Friday_18,Friday_19,Friday_20,Friday_21,Friday_22,Friday_23,Friday_24,Saturday_1,Saturday_2,Saturday_3,Saturday_4,Saturday_5,Saturday_6,Saturday_7,Saturday_8,Saturday_9,Saturday_10,Saturday_11,Saturday_12,Saturday_13,Saturday_14,Saturday_15,Saturday_16,Saturday_17,Saturday_18,Saturday_19,Saturday_20,Saturday_21,Saturday_22,Saturday_23,Saturday_24,Sunday_1,Sunday_2,Sunday_3,Sunday_4,Sunday_5,Sunday_6,Sunday_7,Sunday_8,Sunday_9,Sunday_10,Sunday_11,Sunday_12,Sunday_13,Sunday_14,Sunday_15,Sunday_16,Sunday_17,Sunday_18,Sunday_19,Sunday_20,Sunday_21,Sunday_22,Sunday_23,Sunday_24,id_google,category,latitude_bld,longitude_bld,latitude,longitude,distance,cluster
0,1,0,0,0,1,9,30,55,60,42,24,19,21,24,28,42,79,99,63,28,17,12,8,5,3,1,0,0,0,8,32,63,70,46,33,34,23,30,51,74,91,93,81,59,36,18,7,1,0,0,0,0,3,15,37,59,63,48,36,34,23,28,49,73,91,96,84,63,39,19,7,1,0,0,0,0,0,6,29,63,76,55,36,31,25,28,48,74,94,100,87,62,37,17,6,0,0,0,0,0,1,6,17,31,42,43,35,23,16,20,38,62,80,81,66,44,27,20,17,14,10,5,1,0,0,1,3,6,8,11,14,16,17,19,22,24,26,25,23,21,19,16,13,8,4,1,0,0,0,2,5,8,12,16,19,21,21,19,17,16,19,22,23,19,15,11,8,4,ChIJORy6nXuwj4ARz3b1NVL1Hw4,locality,37.4418834,-122.1430195,37.443,-122.163,1772.4774769874161,1
1,0,0,0,0,0,0,0,0,0,0,0,40,53,60,60,56,53,49,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,51,54,52,49,47,46,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,51,55,53,50,48,47,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,54,58,55,51,50,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,59,64,61,58,59,60,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,54,76,91,98,100,97,89,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,65,84,95,94,84,67,0,0,0,0,0,0,ChIJOXaCcTS7j4AR1Hjo8LCVWAc,shopping_mall,37.44347210000001,-122.1712923,37.443,-122.163,735.6732905270873,1
2,0,0,0,0,0,0,0,0,0,0,0,10,15,16,12,0,0,34,66,84,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,33,26,0,0,43,73,88,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,31,27,0,0,47,80,100,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,30,29,0,0,38,66,83,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,32,25,0,0,30,45,56,57,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,49,58,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,42,52,48,0,0,0,ChIJwWcdxzi7j4ARSPpV37nhr58,restaurant,37.4488748,-122.1584172,37.443,-122.163,767.8437274962553,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,56,60,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,66,83,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,71,84,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,23,27,41,64,87,95,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,21,21,28,46,72,86,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,36,46,60,78,94,100,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,21,28,34,37,37,33,26,0,0,0,ChIJpf2l3zi7j4ARq9jTYIKdfb0,restaurant,37.4479051,-122.1588629,37.443,-122.163,656.0420134590662,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,18,18,16,25,46,68,76,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,16,15,17,30,52,74,81,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,18,13,14,29,58,87,99,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,20,24,32,48,69,86,95,100,91,0,0,0,0,0,0,0,0,0,0,0,0,16,29,41,48,46,41,42,52,69,83,86,74,0,0,0,0,0,0,0,0,0,0,0,0,13,31,50,60,56,46,43,48,54,51,0,0,0,0,ChIJdwmtjjm7j4ARuuLA95wq7wQ,night_club,37.4449386,-122.1614268,37.443,-122.163,256.26836373692544,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,53,70,62,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,39,68,83,70,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,70,100,91,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,56,78,73,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,32,48,50,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,26,40,43,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,25,31,29,0,0,0,ChIJY0yKLzq7j4ARNNLYPbJMgN8,restaurant,37.4441583,-122.1609667,37.443,-122.163,221.13670098835922,1
6,0,0,0,0,0,0,0,0,0,0,0,28,36,40,42,42,44,46,48,46,38,27,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37,40,39,37,35,34,33,29,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,17,21,24,25,28,33,36,33,24,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,29,26,25,30,41,52,57,53,41,0,0,0,0,0,0,0,0,0,0,0,0,0,50,55,55,50,47,50,59,69,75,71,57,39,0,0,0,0,0,0,0,0,0,0,0,0,40,49,55,58,62,70,82,95,100,91,72,47,0,0,0,0,0,0,0,0,0,0,0,0,35,47,60,72,79,82,79,75,67,57,43,0,0,ChIJEQbMSzq7j4ARCIzIQRU45og,restaurant,37.4435214,-122.1605738,37.443,-122.163,222.36191759662094,1
7,0,0,0,0,0,0,0,26,38,48,53,60,74,91,94,79,60,53,49,35,0,0,0,0,0,0,0,0,0,0,0,18,38,55,60,60,63,64,58,54,53,48,39,28,0,0,0,0,0,0,0,0,0,0,0,31,52,66,67,67,71,79,82,78,65,48,31,17,0,0,0,0,0,0,0,0,0,0,0,30,49,61,64,65,73,81,78,64,51,49,49,38,0,0,0,0,0,0,0,0,0,0,0,21,45,66,73,72,71,71,67,59,54,52,48,38,0,0,0,0,0,0,0,0,0,0,0,15,33,57,79,89,88,84,84,77,63,51,40,21,0,0,0,0,0,0,0,0,0,0,0,15,28,46,64,81,95,100,91,77,70,70,60,37,0,0,0,0,ChIJY5UIijm7j4ARPkLgY0DXJuI,cafe,37.4447446,-122.1614805,37.443,-122.163,235.73581044747695,1
8,0,0,0,0,0,0,0,0,0,0,0,39,48,49,44,0,0,51,76,96,95,68,0,0,0,0,0,0,0,0,0,0,0,0,0,45,53,53,48,0,0,54,81,95,87,68,0,0,0,0,0,0,0,0,0,0,0,0,0,33,45,47,35,0,0,52,80,100,98,76,0,0,0,0,0,0,0,0,0,0,0,0,0,62,73,69,54,0,0,42,67,86,83,58,0,0,0,0,0,0,0,0,0,0,0,0,0,36,57,64,50,0,0,59,82,97,96,79,0,0,0,0,0,0,0,0,0,0,0,0,0,40,51,58,58,0,0,65,80,93,92,73,0,0,0,0,0,0,0,0,0,0,0,0,0,34,45,53,57,0,0,75,90,91,88,75,0,0,ChIJByU8Zze7j4ARtKef7nHMEks,restaurant,37.4451287,-122.1637993,37.443,-122.163,246.61656033701067,1
9,0,0,0,0,0,0,0,0,30,40,15,5,20,60,100,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,45,35,15,10,30,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,45,40,35,35,25,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ChIJc3eRzTq7j4ARVM9tI6jdmqQ,health,37.44020390000001,-122.1614055,37.443,-122.163,340.9013020423273,1
