,TMAX,TMIN,TEMP,IRRAD,RAIN,WIND,VAP,DAY,LAT,LON,ELEV
0,11.81,5.44,7.82,3160000.0,0.734,1.81,10.053033228034165,1990-01-01,37.441599,-122.150545,233.2
1,12.17,1.32,6.06,10900000.0,0.003,3.8,6.175001049966321,1990-01-02,37.441599,-122.150545,233.2
2,12.66,0.88,5.53,10380000.0,0.0,1.61,6.657685976551903,1990-01-03,37.441599,-122.150545,233.2
3,13.05,-0.27,5.44,8460000.0,0.0,1.38,6.4963410967704025,1990-01-04,37.441599,-122.150545,233.2
4,16.25,3.04,7.57,9380000.0,0.0,1.34,8.988433009937811,1990-01-05,37.441599,-122.150545,233.2
5,14.61,5.37,8.56,8540000.0,0.073,0.82,9.547098805994152,1990-01-06,37.441599,-122.150545,233.2
6,14.56,7.55,10.77,3210000.0,0.16799999999999998,2.78,12.067313769221037,1990-01-07,37.441599,-122.150545,233.2
7,17.21,7.36,11.51,6860000.0,0.016,1.55,12.230341661545374,1990-01-08,37.441599,-122.150545,233.2
8,18.74,6.83,10.82,10960000.0,0.003,0.84,10.60411126582617,1990-01-09,37.441599,-122.150545,233.2
9,20.1,6.62,11.62,8760000.0,0.0,1.11,10.073752648504462,1990-01-10,37.441599,-122.150545,233.2
10,18.64,7.83,11.57,7030000.0,0.476,1.57,10.793623189564311,1990-01-11,37.441599,-122.150545,233.2
11,15.52,10.19,12.08,3930000.0,2.472,3.79,13.057497641753606,1990-01-12,37.441599,-122.150545,233.2
12,13.51,8.48,10.72,3390000.0,1.636,3.88,11.465102416841408,1990-01-13,37.441599,-122.150545,233.2
13,12.18,6.77,9.13,7880000.0,0.323,1.49,10.74962706391726,1990-01-14,37.441599,-122.150545,233.2
14,13.28,5.52,8.48,8279999.999999999,0.546,1.42,9.72658888306342,1990-01-15,37.441599,-122.150545,233.2
15,8.47,2.44,5.82,7300000.0,0.086,2.3,7.979350284338683,1990-01-16,37.441599,-122.150545,233.2
16,12.53,1.78,5.52,10840000.0,0.003,1.59,7.391485324970544,1990-01-17,37.441599,-122.150545,233.2
17,13.15,0.7,5.96,11850000.0,0.002,1.41,6.70098320088554,1990-01-18,37.441599,-122.150545,233.2
